id,name,web_name,team,position,cost,total_points,form,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,selected_by_percent,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,minutes_per_game,cost_efficiency,form_per_cost,position_encoded
186,Raheem Sterling,Sterling,Arsenal,Midfielder,6.7,26,1.0,1.5,490,0,2,1,4,0,0,0,1,0,0,0,64,67.2,125.5,122.0,31.3,0.8,0.1,3.9,56881,165293,0,0,12.894736842105264,3.8805970149253732,0.14925373134328357,3.0
578,Riccardo Calafiori,Calafiori,Arsenal,Defender,5.8,39,0.5,2.1,978,2,1,1,12,0,0,0,4,0,0,1,142,252.6,118.2,176.0,54.6,1.5,0.1,6.7,285601,425538,0,0,25.736842105263158,6.724137931034483,0.08620689655172414,2.0
597,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,Midfielder,4.5,37,2.0,1.6,1362,1,0,5,16,0,0,0,3,2,0,0,237,176.0,170.7,57.0,40.0,0.4,0.4,8.2,115370,79089,0,0,35.8421052631579,8.222222222222221,0.4444444444444444,3.0
633,Mikel Merino,Merino,Arsenal,Midfielder,6.0,92,1.0,3.3,1575,7,2,4,17,0,0,0,2,1,0,8,326,456.8,265.8,511.0,123.3,1.5,0.2,15.3,677828,522817,0,0,41.44736842105263,15.333333333333334,0.16666666666666666,3.0
638,Salah-Eddine Oulad M'hand,Oulad M'hand,Arsenal,Midfielder,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2791,2341,0,0,0.0,0.0,0.0,3.0
639,Tommy Setford,Setford,Arsenal,Goalkeeper,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4526,4943,0,0,0.0,0.0,0.0,1.0
657,Maldini Kacurri,Kacurri,Arsenal,Defender,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11257,10392,0,0,0.0,0.0,0.0,2.0
659,Ismeal Kabia,Kabia,Arsenal,Midfielder,4.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3033,2565,0,0,0.0,0.0,0.0,3.0
662,Josh Nichols,Nichols,Arsenal,Defender,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,7424,5568,0,0,0.0,0.0,0.0,2.0
665,Nathan Butler-Oyedeji,Butler-Oyedeji,Arsenal,Forward,4.5,1,0.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,5,3.0,0.0,17.0,2.0,0.2,0.0,0.2,59288,48771,0,0,0.15789473684210525,0.2222222222222222,0.0,4.0
